Paid,AreaType,AvgIncome,Age,LateFees,Gender,UnemployRate,Newsletter,EmailDomain
Default,Urban,40242.77,21,0,Female,0.16,No,gmail.com
Default,Rural,47496.28,24,0,Female,0.18,No,icloud.com
Default,Suburban,77776.38,33,0,Male,0.02,No,yandex.com
Default,Urban,46522.53,26,0,Male,0.02,No,aol.com
Paid,Urban,92252.69,37,0,Female,0.02,Yes,gmail.com
Paid,Urban,68577.59,32,0,Female,0.02,No,icloud.com
Default,Urban,71711.89,37,117,Male,0.02,No,gmail.com
Paid,Rural,64432.54,33,0,Unknown,0.02,No,yahoo.com
Paid,Suburban,85456.96,41,0,Female,0.02,No,yandex.com
Default,Suburban,85663.2,43,0,Male,0.01,Yes,yandex.com
Paid,Urban,76701.09,28,0,Female,0.1,No,protonmail.com
Paid,Rural,81295.78,25,0,Female,0.03,No,outlook.com
Paid,Suburban,65758.21,27,0,Unknown,0.11,No,aol.com
Paid,Urban,80844.06,30,0,Female,0.02,Yes,gmail.com
Default,Urban,63242.44,20,0,Female,0.16,No,yandex.com
Default,Urban,70044.63,44,0,Female,0.16,Yes,yahoo.com
Paid,Urban,64507.13,60,0,Unknown,0.06,No,yahoo.com
Paid,Urban,60855.63,33,0,Female,0.04,Yes,outlook.com
Default,Urban,56217.76,31,0,Male,0.2,Yes,yahoo.com
Default,Urban,79353.8,43,0,Female,0.04,No,outlook.com
Paid,Suburban,96212.12,42,0,Male,0.03,Yes,yahoo.com
Paid,Urban,93422.04,30,0,Unknown,0.02,No,mail.com
Paid,Urban,44868.69,45,0,Female,0.12,Yes,msn.com
Paid,Urban,95784.06,20,0,Male,0.02,Yes,outlook.com
Paid,Urban,63636.83,34,0,Male,0.18,No,gmail.com
Paid,Suburban,82014.66,27,0,Male,0.03,No,yahoo.com
Default,Urban,51875.69,29,73,Female,0.09,Yes,gmail.com
Paid,Urban,72839.6,23,0,Female,0.1,No,aol.com
Paid,Urban,76274.46,61,0,Female,0.22,Yes,gmail.com
Paid,Urban,40307.9,23,0,Unknown,0.02,No,gmail.com
Paid,Suburban,82165.34,34,0,Unknown,0.02,No,gmail.com
Paid,Urban,96918.7,29,0,Male,0.02,Yes,mail.com
Default,Urban,66507.04,44,0,Male,0.02,No,Other
Default,Rural,97203.36,30,0,Female,0.01,Yes,gmail.com
Default,Rural,66206.13,37,211,Female,0.12,No,yahoo.com
Default,Suburban,86991.69,31,0,Male,0.03,Yes,msn.com
Paid,Urban,25628.6,52,0,Male,0.25,Yes,outlook.com
Default,Urban,118375.56,38,157,Male,0.02,Yes,gmail.com
Paid,Suburban,99909.16,46,0,Male,0.03,Yes,gmail.com
Paid,Urban,64307.49,35,0,Unknown,0.05,No,outlook.com
Paid,Urban,30558.22,42,0,Female,0.03,Yes,gmail.com
Default,Urban,75760.57,30,0,Male,0.14,Yes,gmail.com
Paid,Urban,41121.49,23,0,Male,0.19,Yes,protonmail.com
Default,Rural,78897.07,50,0,Male,0.27,Yes,protonmail.com
Default,Urban,78231.31,53,186,Female,0.07,Yes,mail.com
Paid,Suburban,51171.94,33,0,Female,0.19,No,hotmail.com
Paid,Urban,92419.34,34,0,Male,0.02,Yes,aol.com
Default,Urban,86111.49,24,228,Unknown,0.01,No,aol.com
Paid,Urban,89516.47,20,0,Female,0.03,Yes,mail.com
Paid,Urban,70177.15,34,0,Diverse,0.02,No,gmail.com
Paid,Rural,41689.52,47,0,Male,0.1,No,hotmail.com
Default,Suburban,89557.45,37,0,Male,0.02,Yes,mail.com
Paid,Rural,64592.57,25,0,Female,0.08,Yes,icloud.com
Paid,Rural,42204.4,38,0,Female,0.05,Yes,msn.com
Default,Urban,97040.79,25,0,Male,0.02,Yes,gmail.com
Paid,Rural,111988.15,36,0,Unknown,0.02,Yes,outlook.com
Paid,Urban,69175.04,51,0,Diverse,0.02,No,icloud.com
Paid,Urban,113182.42,32,0,Male,0.03,No,gmail.com
Default,Urban,71826.29,42,58,Unknown,0.15,Yes,gmail.com
Paid,Urban,62390.88,33,0,Female,0.1,No,Other
Paid,Urban,57390.83,48,0,Male,0.19,No,hotmail.com
Paid,Urban,102741.65,20,0,Male,0.01,No,gmail.com
Default,Suburban,54397.12,33,91,Male,0.02,Yes,gmail.com
Default,Urban,84705.39,40,0,Male,0.02,Yes,outlook.com
Default,Urban,58816.72,35,0,Male,0.02,Yes,Other
Default,Urban,60793.86,29,0,Female,0.02,No,Other
Paid,Urban,90604.99,20,0,Male,0.01,No,yahoo.com
Paid,Suburban,62399.26,27,0,Male,0.08,Yes,yahoo.com
Paid,Urban,61904.09,33,0,Male,0.02,Yes,yahoo.com
Paid,Rural,92656.09,30,0,Male,0.02,No,icloud.com
Paid,Suburban,101947.95,32,0,Female,0.03,Yes,gmail.com
Paid,Urban,82893.8,34,0,Male,0.04,Yes,gmail.com
Default,Urban,56904.6,36,0,Female,0.02,No,msn.com
Paid,Suburban,59787.83,52,0,Male,0.16,Yes,outlook.com
Paid,Suburban,71598.31,28,0,Male,0.12,No,gmail.com
Default,Suburban,76418.6,32,0,Unknown,0.02,Yes,mail.com
Paid,Suburban,50242.68,60,0,Female,0.13,No,aol.com
Paid,Urban,84460.76,27,0,Female,0.02,No,aol.com
Paid,Urban,71710.27,48,0,Male,0.03,No,icloud.com
Default,Urban,35685.83,46,300,Female,0.14,Yes,yahoo.com
Default,Rural,51421.47,43,0,Unknown,0.13,Yes,protonmail.com
Paid,Suburban,59917.43,49,0,Male,0.02,Yes,outlook.com
Paid,Urban,68542.85,34,0,Male,0.02,No,gmail.com
Paid,Urban,107785.58,21,0,Female,0.02,No,yahoo.com
Paid,Urban,74763.43,46,0,Male,0.18,Yes,yahoo.com
Paid,Urban,53184.56,47,0,Unknown,0.04,No,gmail.com
Paid,Suburban,74412.62,47,0,Female,0.19,Yes,gmail.com
Paid,Suburban,62958.25,31,0,Male,0.13,Yes,outlook.com
Default,Rural,76495.16,19,0,Male,0.19,No,hotmail.com
Default,Urban,81611.35,33,113,Male,0.01,Yes,outlook.com
Paid,Urban,94184.61,44,0,Male,0.03,No,yandex.com
Paid,Suburban,69514.27,45,0,Female,0.23,No,aol.com
Paid,Suburban,102779.21,24,0,Male,0.02,No,msn.com
Paid,Urban,88160.45,35,0,Male,0.03,Yes,protonmail.com
Default,Suburban,55851.21,30,0,Male,0.03,No,gmail.com
Paid,Urban,114197.11,45,0,Female,0.02,Yes,msn.com
Paid,Urban,76539.89,18,0,Male,0.1,No,gmail.com
Paid,Urban,53297.51,42,0,Male,0.12,No,yahoo.com
Default,Urban,103058.26,23,0,Male,0.03,No,outlook.com
Paid,Urban,111555.55,45,0,Male,0.02,No,yahoo.com
Paid,Urban,69339.49,35,0,Unknown,0.15,No,gmail.com
Paid,Suburban,59926.99,18,0,Female,0.02,Yes,yandex.com
Paid,Urban,66552.5,40,0,Male,0.02,No,icloud.com
Paid,Urban,84294.63,21,0,Unknown,0.02,No,gmail.com
Paid,Rural,95557.13,41,0,Male,0.01,No,gmail.com
Default,Urban,81409.75,26,143,Female,0.01,No,gmail.com
Paid,Urban,72034.46,27,0,Female,0.02,No,hotmail.com
Paid,Suburban,99960.24,28,0,Female,0.01,No,yahoo.com
Paid,Urban,63743.27,24,0,Female,0.02,No,protonmail.com
Paid,Urban,90618.39,51,0,Unknown,0.03,No,gmail.com
Default,Urban,64238.74,44,0,Female,0.31,No,yahoo.com
Paid,Urban,78620.46,54,0,Male,0.03,Yes,yahoo.com
Default,Rural,67728.75,55,180,Male,0.02,No,Other
Paid,Suburban,68882.96,22,0,Male,0.02,No,aol.com
Paid,Suburban,62452.27,27,0,Female,0.12,Yes,yahoo.com
Paid,Rural,96897.08,24,0,Male,0.02,No,yahoo.com
Default,Suburban,55341.48,20,282,Male,0.15,No,icloud.com
Paid,Urban,55195.35,31,0,Female,0.01,Yes,protonmail.com
Default,Rural,112419.87,30,0,Female,0.02,No,gmail.com
Paid,Urban,89556.95,37,0,Male,0.02,No,gmail.com
Default,Suburban,22297.73,29,0,Male,0.38,Yes,gmail.com
Paid,Rural,58694.83,62,0,Male,0.02,Yes,yahoo.com
Default,Urban,33760.21,22,0,Male,0.09,Yes,outlook.com
Paid,Urban,50986.19,33,0,Female,0.02,No,gmail.com
Default,Urban,15000.0,44,0,Male,0.43,No,yahoo.com
Default,Urban,67260.21,34,0,Female,0.17,Yes,msn.com
Paid,Suburban,47161.16,34,0,Male,0.03,No,gmail.com
Paid,Rural,71198.11,25,0,Male,0.02,No,yahoo.com
Default,Urban,37497.57,27,0,Unknown,0.07,Yes,Other
Paid,Urban,71658.24,27,0,Female,0.01,No,gmail.com
Paid,Urban,61701.67,43,0,Male,0.02,No,gmail.com
Paid,Urban,100039.06,32,0,Unknown,0.03,Yes,yahoo.com
